Recorder,Date,Month,Plant_ID,Quad1,Height_cm,Canopy_x_cm,Canopy_y_cm,Notes,,Quad2,,,,,,,,,,,,,,,,
BW,2/6/24,February,I6.AVEBAR.1,C,4.75,4.5,1.75,"only 1, not sure id",,,,,,,,,,,,,,,,,,
BW,2/6/24,February,I8.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,J2.AVEBAR.1,CL,6.5,2.75,1.5,NSID,,TR,,,,,,,,,,,,,,,,
BW,2/2/24,February,A3.AVEBAR.1,BR,3,11.5,4,oo,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,B1.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,B7.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,C4.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,C5.AVEBAR.1,NA,NA,NA,NA,oo,,CR,,,,,,,,,,,,,,,,
BW,2/2/24,February,D2.AVEBAR.1,C,6.5,9.25,10.5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,D6.AVEBAR.1,TL,2,15.5,11.25,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E8.AVEBAR.1,BC,8.5,15.5,16,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F3.AVEBAR.1,CR,2.5,15,15.5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F8.AVEBAR.1,CT,3,15.5,12.75,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,G1.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,G8.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,H5.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,I1.AVEBAR.1,BR,5.5,16.75,14.75,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,I4.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,J1.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,A5.AVEBAR.1,TR,4.5,17.5,17.5,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,A8.AVEBAR.1,BC,5.5,18.5,14.25,,,TL,,,,,,,,,,,,,,,,
BW,2/6/24,February,B2.AVEBAR.1,BL,done?,,,no measurements,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,B5.AVEBAR.1,BC,9.75,12.5,4.5,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,C1.AVEBAR.1,BR,7.5,10.5,4,,,C,,,,,,,,,,,,,,,,
BW,2/2/24,February,D4.AVEBAR.1,BC,3.5,10,7,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E7.AVEBAR.1,BL,4,8,6.5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F4.AVEBAR.1,TC,4.25,12,11,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F5.AVEBAR.1,BR,4.75,14.5,9,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,G2.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,G5.AVEBAR.1,TL,3.25,11,9,only 1,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,H4.AVEBAR.1,NA,NA,NA,NA,only 1,,BL,,,,,,,,,,,,,,,,
BW,2/6/24,February,H7.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,I7.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,J3.AVEBAR.1,BC,4,11.5,9.5,NSID,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,J6.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,A2.AVEBAR.1,BR,16.5,14,6,NSID,,TC,,,,,,,,,,,,,,,,
BW,2/2/24,February,A4.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,B8.AVEBAR.1,BR,8,9.5,2,,,C,,,,,,,,,,,,,,,,
BW,2/2/24,February,C6.AVEBAR.1,C,4.75,14.5,10,,,TL,,,,,,,,,,,,,,,,
BW,2/2/24,February,C7.AVEBAR.1,C,6.75,6,1,,,BR,,,,,,,,,,,,,,,,
BW,2/2/24,February,D3.AVEBAR.1,CT,4.75,6.5,7.25,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,D5.AVEBAR.1,C,7.5,6,6,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E2.AVEBAR.1,BL/C,3.5,11,8,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E4.AVEBAR.1,CL,5.5,4.5,1.5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F2.AVEBAR.1,BL,3,14,10,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F7.AVEBAR.1,CL,5.5,8.5,5.75,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,G4.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,H3.AVEBAR.1,C,4.5,6.5,1.5,,,C,,,,,,,,,,,,,,,,
BW,2/2/24,February,I3.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,J4.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,J7.AVEBAR.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,A6.AVEFAT.1,CR,24.25,16,3,,,TR,,,,,,,,,,,,,,,,
BW,2/6/24,February,A7.AVEFAT.1,C/TL,9.25,30.5,17,,,TR,,,,,,,,,,,,,,,,
BW,2/6/24,February,B3.AVEFAT.1,NA,NA,NA,NA,OO,,CR,,,,,,,,,,,,,,,,
BW,2/6/24,February,B6.AVEFAT.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,C2.AVEFAT.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,D7.AVEFAT.1,TL,9.25,10.5,5,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,D8.AVEFAT.1,TL,7.25,8,3,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E5.AVEFAT.1,CB,8,10,4,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,E6.AVEFAT.1,BR,8.25,9.5,1,,,,,,,,,,,,,,,,,,,
BW,2/2/24,February,F6.AVEFAT.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,G3.AVEFAT.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,H1.AVEFAT.1,C/TR,4,3.5,1,,,BR,,,,,,,,,,,,,,,,
BW,2/6/24,February,H8.AVEFAT.1,BC,7,6.5,6.5,,,CL,,,,,,,,,,,,,,,,
BW,2/6/24,February,I2.AVEFAT.1,NA,NA,NA,NA,NF,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,J5.AVEFAT.1,NA,NA,NA,NA,only 1,,BC,,,,,,,,,,,,,,,,
BW,2/6/24,February,J8.AVEFAT.1,TL,15,9,6.5,,,C,,,,,,,,,,,,,,,,
CM,2/9/24,February,A2.BROARE.1,BR,14.5,13,8.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,A4.BROARE.1,TC,14.5,10,9,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,B8.BROARE.1,TC,9,12,10.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,C6.BROARE.1,BL,13.75,11,3.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,C7.BROARE.1,TL,11.5,10,4,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,D3.BROARE.1,MC,5.75,3.5,1,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,D5.BROARE.1,TR,9.75,4,1.75,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,E2.BROARE.1,TL,10.25,11.5,8.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,E4.BROARE.1,TC,7.25,9,0.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,F2.BROARE.1,BL,5,11.5,9.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,F7.BROARE.1,TR,7,5.75,0.75,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,G4.BROARE.1,MC,9,11.5,5.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,H3.BROARE.1,BL,6.5,7,3.75,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,I3.BROARE.1,MC,14.5,14.75,6.5,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,J4.BROARE.1,BC,12.25,11.25,2.75,,,,,,,,,,,,,,,,,,,
CM,2/9/24,February,J7.BROARE.1,MC,13.5,8.5,2,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,A1.BRODIA.1,C,5.25,9,2.25,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,B4.BRODIA.1,CL,5.5,19,14,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,C3.BRODIA.1,TC,3.5,13.5,3,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,C8.BRODIA.1,BR,2.75,1.25,1,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,D1.BRODIA.1,BR,1,2.25,1,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,E1.BRODIA.1,BR,4.5,8.25,2.75,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,E3.BRODIA.1,BR,6.5,6.75,5.5,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,F1.BRODIA.1,BL,4.5,9.75,4.5,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,G6.BRODIA.1,CL,5,11,5,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,G7.BRODIA.1,TR,4.5,5,4.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,H2.BRODIA.1,BL,3.5,13.25,9,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,H6.BRODIA.1,TR,5,9.5,10,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I5.BRODIA.1,NA,NA,NA,NA,none germinated,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I6.BRODIA.1,NA,NA,NA,NA,none germianted,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I8.BRODIA.1,NA,NA,NA,NA,none germinated,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,J2.BRODIA.1,CB,5.25,10,8,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,A3.BRODIA.1,CB,8.5,11.75,8,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,B1.BRODIA.1,BR,2.75,12.5,10,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,B7.BRODIA.1,CL,7.25,13.25,15,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,C4.BRODIA.1,TL,5.5,13.75,7.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,C5.BRODIA.1,CB,9.25,11.5,1.75,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,D2.BRODIA.1,TR,4,4,0.25,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,D6.BRODIA.1,C,6,8.75,0.75,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,E8.BRODIA.1,BR,6,11.5,0.25,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,F3.BRODIA.1,TR,5.5,9,0.25,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,F8.BRODIA.1,C,6.25,12.5,3,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,G1.BRODIA.1,BL,3.75,8.5,0.25,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,G8.BRODIA.1,C,5.25,12,4.25,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,H5.BRODIA.1,C,8.25,15,11,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I1.BRODIA.1,C,8.25,13.5,9.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I4.BRODIA.1,C,7,11.5,6.75,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,J1.BRODIA.1,BR,11.5,16,5,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,A5.BRODIA.1,C,6.25,9.75,2,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,A8.BRODIA.1,CL,7,16,8.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,B2.BRODIA.1,BL,4.75,11,4.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,B5.BRODIA.1,CR,5,10,10.5,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,C1.BRODIA.1,BR,6.25,10.75,10,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,D4.BRODIA.1,C,4,7.5,0.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,E7.BRODIA.1,TR,2.75,9,3,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,F4.BRODIA.1,BL,5,7,0.25,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,F5.BRODIA.1,CB,2.5,8,0.25,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,G2.BRODIA.1,C,5.25,10,4.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,G5.BRODIA.1,TR,5.5,10,7,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,H4.BRODIA.1,TR,4.5,10,8.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,H7.BRODIA.1,TL,6,9,0.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I7.BRODIA.1,TL,3.75,11,5.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,J3.BRODIA.1,C,8,18.5,11.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,J6.BRODIA.1,CT,7,18.75,7.5,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,A6.BRODIA.1,TR,12.75,11.5,8,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,A7.BRODIA.1,TR,16.5,10.5,10,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,B3.BRODIA.1,CR,12,9.5,1.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,B6.BRODIA.1,CT,14,11.5,0.75,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,C2.BRODIA.1,CL,12,13.75,5.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,D7.BRODIA.1,CR,11,12.75,4,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,D8.BRODIA.1,TL,8.25,9.5,0.5,,,,,,,,,,,,,,,,,,,
OF,2/6/24,February,E5.BRODIA.1,CT,8,2.75,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,E6.BRODIA.1,CB,5.75,8,3,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,F6.BRODIA.1,C,4,4,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,G3.BRODIA.1,CL,9,13.75,3.5,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,H1.BRODIA.1,CB,11.5,9,8,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,H8.BRODIA.1,BR,9,13.5,12,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,I2.BRODIA.1,CL,10.5,12.25,11.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,J5.BRODIA.1,CB,15,14.25,10,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,J8.BRODIA.1,BL,9.5,9.25,6.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,A2.BRODIA.1,BR,10.25,15.25,9.5,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,A4.BRODIA.1,TR,7,15.5,12,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,B8.BRODIA.1,BL,7.5,17,13,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,C6.BRODIA.1,CR,7.75,15.25,13,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,C7.BRODIA.1,TR,5.75,12.75,9.5,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,D3.BRODIA.1,C,4.5,6.5,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,D5.BRODIA.1,CB,6.25,14,2.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,E2.BRODIA.1,BR,6,15.25,11,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,E4.BRODIA.1,CT,6.25,10,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,F2.BRODIA.1,BL,7,9,3,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,F7.BRODIA.1,BL,4.75,5,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,G4.BRODIA.1,CT,7.25,11,4.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,H3.BRODIA.1,TR,4.75,0.25,9,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,I3.BRODIA.1,C,6.5,12,14.75,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,J4.BRODIA.1,TL,5.5,11.5,8.5,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,J7.BRODIA.1,CT,4,9,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,A1.BROHOR.1,CB,3.5,6.75,8.5,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,B4.BROHOR.1,CT,4.5,5,2,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,C3.BROHOR.1,CL,4.25,10,1.75,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,C8.BROHOR.1,CL,2.5,6,0.25,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,D1.BROHOR.1,C,4.5,8.5,3.25,,,TL,,,,,,,,,,,,,,,,
BW,2/6/24,February,E1.BROHOR.1,BL,3,3.5,1,,,TC,,,,,,,,,,,,,,,,
BW,2/6/24,February,E3.BROHOR.1,C,4,8.5,1,,,BC,,,,,,,,,,,,,,,,
YX,2/6/24,February,F1.BROHOR.1,TL,3,3.25,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,G6.BROHOR.1,CR,4.25,6.25,4,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,G7.BROHOR.1,CT,3,3.75,1,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,H2.BROHOR.1,BR,3.5,3.25,0.5,,,TL,,,,,,,,,,,,,,,,
BW,2/6/24,February,H6.BROHOR.1,BR,5,6.25,2,,,C,,,,,,,,,,,,,,,,
BW,2/6/24,February,I5.BROHOR.1,TR/C,3,3,1,,,BC,,,,,,,,,,,,,,,,
BW,2/6/24,February,I6.BROHOR.1,CR,5.75,5.5,1.25,,,BL,,,,,,,,,,,,,,,,
BW,2/6/24,February,I8.BROHOR.1,CL,5.5,7.25,4.5,,,CR,,,,,,,,,,,,,,,,
BW,2/6/24,February,J2.BROHOR.1,C,4.25,4.75,1.25,,,CR,,,,,,,,,,,,,,,,
YX,2/6/24,February,A3.BROHOR.1,CB,4.75,5,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,B1.BROHOR.1,BR,5.5,4,0.25,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,B7.BROHOR.1,CT,2,7,3.5,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,C4.BROHOR.1,CL,6,7.25,4.5,,,,,,,,,,,,,,,,,,,
YX,2/6/24,February,C5.BROHOR.1,TL,5.25,7,1,,,,,,,,,,,,,,,,,,,
BW,2/6/24,February,D2.BROHOR.1,C,3,5,1,,,TC,,,,,,,,,,,,,,,,
BW,2/6/24,February,D6.BROHOR.1,C,4.25,7,2,,,TR,,,,,,,,,,,,,,,,
NA,NA,February,E8.BROHOR.1,TR/C,6,8,2.5,,,TC,,,,,,,,,,,,,,,,
OF,2/8/24,February,F3.BROHOR.1,BC,3,9.5,2.5,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,F8.BROHOR.1,CR,5,6,1,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,G1.BROHOR.1,CL,4,10,0.5,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,G8.BROHOR.1,TC,1.5,3.75,0.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,H5.BROHOR.1,CL,3.5,4.25,0.5,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I1.BROHOR.1,CR,4.25,7.5,2,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,I4.BROHOR.1,CR,1.25,4.75,2.5,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,J1.BROHOR.1,C,4.75,8,0.5,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,A5.BROHOR.1,BR,3,12.25,4.5,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,A8.BROHOR.1,C,6.75,8.5,7.5,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,B2.BROHOR.1,C,3.5,9,7.25,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,B5.BROHOR.1,TC,2.25,10,8.5,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,C1.BROHOR.1,C/CL,3.5,1,0.25,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,D4.BROHOR.1,C,3,4,0.5,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,E7.BROHOR.1,BL,4,3.5,0.25,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,F4.BROHOR.1,C,4.75,6.5,6,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,F5.BROHOR.1,C,1.75,2,0.25,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,G2.BROHOR.1,TR,3.75,6.5,4.75,,,,,,,,,,,,,,,,,,,
OF,2/8/24,February,G5.BROHOR.1,CB,3.75,3,0.25,,,,,,,,,,,,,,,,,,,
SS,2/6/24,February,H4.BROHOR.1,TR,3,2.75,0.5,,,,,,,,,,,,,,,,,,,
